27-08-2024 03:05:48 Id : 27082024150548 Fecha : 27-08-2024 15:05:48 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:06:19 Id : 27082024150619 Fecha : 27-08-2024 15:06:19 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:06:47 Id : 27082024150647 Fecha : 27-08-2024 15:06:47 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:07:16 Id : 27082024150716 Fecha : 27-08-2024 15:07:16 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:07:25 Id : 27082024150725 Fecha : 27-08-2024 15:07:25 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:07:40 Id : 27082024150740 Fecha : 27-08-2024 15:07:40 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:07:49 Id : 27082024150749 Fecha : 27-08-2024 15:07:49 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:07:59 Id : 27082024150759 Fecha : 27-08-2024 15:07:59 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:08:14 Id : 27082024150814 Fecha : 27-08-2024 15:08:14 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:09:04 Id : 27082024150904 Fecha : 27-08-2024 15:09:04 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
